,keramik_id,ind_nr,profile_img_path,orig_img_path,stilgruppe,grundform,form,bodenform,sites,keramik_H_max,dm_1,dm_2,bodenform_Abgeflacht,bodenform_flach,bodenform_Flach,bodenform_rund,bodenform_Standboden,umbruchform_rund,umbruchform_scharf,umbruchform_spitz,decoration_AOC,decoration_AOO,decoration_Corded_Linear,decoration_Corded_Linear_Reserved,decoration_Linear,decoration_Linear_Reserved,decoration_maritime,decoration_special,decoration_zonal
44.04_62,20,analysis/data/input_data/object_images/original_images/44.04_62.png,profile_images/44.04_62_2.png,original_images/44.04_62.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site1,132,104,133,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
45.01_01,21,analysis/data/input_data/object_images/original_images/45.01_01.png,profile_images/45.01_01_2.png,original_images/45.01_01.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,251,341,381,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
45.01_01b,22,analysis/data/input_data/object_images/original_images/45.01_01b.png,profile_images/45.01_01b_2.png,original_images/45.01_01b.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,126,146,164,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45.01_02,23,analysis/data/input_data/object_images/original_images/45.01_02.png,profile_images/45.01_02_2.png,original_images/45.01_02.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,100,115,129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45.01_03,24,analysis/data/input_data/object_images/original_images/45.01_03.png,profile_images/45.01_03_2.png,original_images/45.01_03.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,90,104,128,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
45.01_04,25,analysis/data/input_data/object_images/original_images/45.01_04.png,profile_images/45.01_04_2.png,original_images/45.01_04.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,86,115,129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
45.01_05,26,analysis/data/input_data/object_images/original_images/45.01_05.png,profile_images/45.01_05_2.png,original_images/45.01_05.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,90,103,128,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
45.01_06,27,analysis/data/input_data/object_images/original_images/45.01_06.png,profile_images/45.01_06_2.png,original_images/45.01_06.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,173,198,222,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45.01_07,28,analysis/data/input_data/object_images/original_images/45.01_07.png,profile_images/45.01_07_2.png,original_images/45.01_07.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,106,122,149,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
45.01_08,29,analysis/data/input_data/object_images/original_images/45.01_08.png,profile_images/45.01_08_2.png,original_images/45.01_08.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,156,262,320,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
